Method,Dimension,Lambda,ARL,h,ARL_observed
ssDMEWMC,4,0.9,2000,22.3646772144,1996.4
ssDMEWMC,4,0.9500000000000001,100,21.7594650304,82.6
ssDMEWMC,4,0.9500000000000001,200,23.0227569931,187.8
ssDMEWMC,4,0.9500000000000001,500,24.3194028623,492.4
ssDMEWMC,4,0.9500000000000001,1000,25.8790097038,1005.3
ssDMEWMC,4,0.9500000000000001,2000,28.0031435522,2052.6
ssDMEWMC,5,0.05,100,0.1983638856,106.0
ssDMEWMC,5,0.05,200,0.2483392728,205.0
ssDMEWMC,5,0.05,500,0.3305905354,407.9
ssDMEWMC,5,0.05,1000,0.3798759527,910.5
ssDMEWMC,5,0.05,2000,0.3998315498,2019.3
ssDMEWMC,5,0.1,100,0.5556973674,104.7
ssDMEWMC,5,0.1,200,0.6707000759,214.6
ssDMEWMC,5,0.1,500,0.7468203125,499.8
ssDMEWMC,5,0.1,1000,0.8603287113,971.9
ssDMEWMC,5,0.1,2000,0.9286226120000001,1475.5
ssDMEWMC,5,0.2,100,1.5442798152,100.3
ssDMEWMC,5,0.2,200,1.7544968117000002,167.4
ssDMEWMC,5,0.2,500,1.8420481565,509.4
ssDMEWMC,5,0.2,1000,2.0163832798,975.5
ssDMEWMC,5,0.2,2000,2.0830532485,2009.2
ssDMEWMC,5,0.30000000000000004,100,2.7167044201,107.3
ssDMEWMC,5,0.30000000000000004,200,2.9995002979,262.0
ssDMEWMC,5,0.30000000000000004,500,3.0619661767,447.3
ssDMEWMC,5,0.30000000000000004,1000,3.3530618368000003,1061.2
ssDMEWMC,5,0.30000000000000004,2000,3.5076577775,2045.4
ssDMEWMC,5,0.4,100,4.0783354693,92.4
ssDMEWMC,5,0.4,200,4.4417257874,201.7
ssDMEWMC,5,0.4,500,4.5986484293,388.3
ssDMEWMC,5,0.4,1000,4.9548413438,885.5
ssDMEWMC,5,0.4,2000,5.3399126457,2054.3
ssDMEWMC,5,0.5,100,5.8760115989,106.1
ssDMEWMC,5,0.5,200,6.2598313816,201.2
ssDMEWMC,5,0.5,500,6.4881208297,444.7
ssDMEWMC,5,0.5,1000,6.978697112,1145.2
ssDMEWMC,5,0.5,2000,7.5101722064,2247.9
ssDMEWMC,5,0.6000000000000001,100,8.3165038615,89.5
ssDMEWMC,5,0.6000000000000001,200,8.6202689543,202.0
ssDMEWMC,5,0.6000000000000001,500,8.9758039943,467.5
ssDMEWMC,5,0.6000000000000001,1000,9.6568210885,1028.1
ssDMEWMC,5,0.6000000000000001,2000,10.6038309626,2343.1
ssDMEWMC,5,0.7000000000000001,100,11.1847894208,97.8
ssDMEWMC,5,0.7000000000000001,200,12.0232659315,200.1
ssDMEWMC,5,0.7000000000000001,500,12.9438374531,506.7
ssDMEWMC,5,0.7000000000000001,1000,13.8133801114,1095.0
ssDMEWMC,5,0.7000000000000001,2000,14.3097723006,1732.8
ssDMEWMC,5,0.8,100,15.6172318743,95.1
ssDMEWMC,5,0.8,200,16.8400549384,208.7
ssDMEWMC,5,0.8,500,17.852364352,493.0
ssDMEWMC,5,0.8,1000,18.989510439,1075.9
ssDMEWMC,5,0.8,2000,20.2195745619,2030.9
ssDMEWMC,5,0.9,100,23.5254111476,95.2
ssDMEWMC,5,0.9,200,24.9320596757,220.3
