,Method,Dimension,Lambda,ARL,h,
217,MEWMA,5,0.95,500,19.61114267,
218,MEWMA,5,0.95,1000,21.61383833,
219,MEWMA,5,0.95,2000,23.58137771,
220,MEWMA,6,0.05,100,13.102,
221,MEWMA,6,0.05,200,14.6,
222,MEWMA,6,0.05,500,18.154,
223,MEWMA,6,0.05,1000,19.878,
224,MEWMA,6,0.05,2000,21.56,
225,MEWMA,6,0.1,100,14.459,
226,MEWMA,6,0.1,200,16.27,
227,MEWMA,6,0.1,500,18.999,
228,MEWMA,6,0.1,1000,20.867,
229,MEWMA,6,0.1,2000,22.678,
230,MEWMA,6,0.2,100,15.636,
231,MEWMA,6,0.2,200,17.51,
232,MEWMA,6,0.2,500,19.982,
233,MEWMA,6,0.2,1000,21.769,
234,MEWMA,6,0.2,2000,23.5,
235,MEWMA,6,0.3,100,16.08248772,
236,MEWMA,6,0.3,200,18.01,1.028555111
237,MEWMA,6,0.3,500,20.55258824,
238,MEWMA,6,0.3,1000,22.39061622,
239,MEWMA,6,0.3,2000,24.17104512,
240,MEWMA,6,0.4,100,16.30573158,
241,MEWMA,6,0.4,200,18.26,1.013881177
242,MEWMA,6,0.4,500,20.83788235,
243,MEWMA,6,0.4,1000,22.70142433,
244,MEWMA,6,0.4,2000,24.50656768,
245,MEWMA,6,0.5,100,16.42181839,
246,MEWMA,6,0.5,200,18.39,1.007119387
247,MEWMA,6,0.5,500,20.98623529,
248,MEWMA,6,0.5,1000,22.86304455,
249,MEWMA,6,0.5,2000,24.68103941,
250,MEWMA,6,0.6,100,16.49325642,
251,MEWMA,6,0.6,200,18.47,1.00435019
252,MEWMA,6,0.6,500,21.07752941,
253,MEWMA,6,0.6,1000,22.96250314,
254,MEWMA,6,0.6,2000,24.78840662,
255,MEWMA,6,0.7,100,16.52004569,
256,MEWMA,6,0.7,200,18.5,1.001624256
257,MEWMA,6,0.7,500,21.11176471,
258,MEWMA,6,0.7,1000,22.99980011,
259,MEWMA,6,0.7,2000,24.82866933,
260,MEWMA,6,0.8,100,16.55576471,
261,MEWMA,6,0.8,200,18.54,1.002162162
262,MEWMA,6,0.8,500,21.15741176,
263,MEWMA,6,0.8,1000,23.04952941,
264,MEWMA,6,0.8,2000,24.88235294,
265,MEWMA,6,0.9,100,16.57362421,
266,MEWMA,6,0.9,200,18.56,1.001078749
267,MEWMA,6,0.9,500,21.18023529,
268,MEWMA,6,0.9,1000,23.07439406,
269,MEWMA,6,0.9,2000,24.90919475,
270,MEWMA,6,0.95,100,16.59148372,
271,MEWMA,6,0.95,200,18.58,1.001077586
272,MEWMA,6,0.95,500,21.20305882,
273,MEWMA,6,0.95,1000,23.09925871,
274,MEWMA,6,0.95,2000,24.93603655,
275,MEWMA,7,0.05,100,14.628,1.116470768
276,MEWMA,7,0.05,200,16.68,1.142465753
277,MEWMA,7,0.05,500,19.409,1.06913077
278,MEWMA,7,0.05,1000,21.425,1.077824731
279,MEWMA,7,0.05,2000,23.378,1.08432282
280,MEWMA,7,0.1,100,16.044,1.109620306
281,MEWMA,7,0.1,200,18.114,1.113337431
282,MEWMA,7,0.1,500,20.762,1.092794358
283,MEWMA,7,0.1,1000,22.699,1.087794125
284,MEWMA,7,0.1,2000,24.574,1.083605256
285,MEWMA,7,0.2,100,17.26,1.103862881
286,MEWMA,7,0.2,200,19.254,1.099600228
287,MEWMA,7,0.2,500,21.776,1.089780803
288,MEWMA,7,0.2,1000,23.613,1.084707612
289,MEWMA,7,0.2,2000,25.412,1.081361702
290,MEWMA,7,0.3,100,17.52991162,
291,MEWMA,7,0.3,200,19.6309,
292,MEWMA,7,0.3,500,22.40232118,
293,MEWMA,7,0.3,1000,24.40577168,
294,MEWMA,7,0.3,2000,26.34643918,
295,MEWMA,7,0.4,100,17.77324742,
296,MEWMA,7,0.4,200,19.9034,
297,MEWMA,7,0.4,500,22.71329176,
298,MEWMA,7,0.4,1000,24.74455252,
299,MEWMA,7,0.4,2000,26.71215877,
300,MEWMA,7,0.5,100,17.89978204,
301,MEWMA,7,0.5,200,20.0451,
302,MEWMA,7,0.5,500,22.87499647,
303,MEWMA,7,0.5,1000,24.92071856,
304,MEWMA,7,0.5,2000,26.90233295,
305,MEWMA,7,0.6,100,17.9776495,
306,MEWMA,7,0.6,200,20.1323,
307,MEWMA,7,0.6,500,22.97450706,
308,MEWMA,7,0.6,1000,25.02912842,
309,MEWMA,7,0.6,2000,27.01936322,
310,MEWMA,7,0.7,100,18.0068498,
311,MEWMA,7,0.7,200,20.165,
312,MEWMA,7,0.7,500,23.01182353,
313,MEWMA,7,0.7,1000,25.06978212,
314,MEWMA,7,0.7,2000,27.06324957,
315,MEWMA,7,0.8,100,18.04578353,
316,MEWMA,7,0.8,200,20.2086,
317,MEWMA,7,0.8,500,23.06157882,
318,MEWMA,7,0.8,1000,25.12398706,
319,MEWMA,7,0.8,2000,27.12176471,
320,MEWMA,7,0.9,100,18.06525039,
321,MEWMA,7,0.9,200,20.2304,
322,MEWMA,7,0.9,500,23.08645647,
323,MEWMA,7,0.9,1000,25.15108953,
