,Method,Dimension,Lambda,ARL,h,
1169,DMEWMA,10,0.2,2000,30.87,
1170,DMEWMA,10,0.3,100,22.46792356,
1171,DMEWMA,10,0.3,200,24.62,
1172,DMEWMA,10,0.3,500,27.53921396,
1173,DMEWMA,10,0.3,1000,29.57570835,
1174,DMEWMA,10,0.3,2000,31.57538014,
1175,DMEWMA,10,0.4,100,22.71432239,
1176,DMEWMA,10,0.4,200,24.89,
1177,DMEWMA,10,0.4,500,27.84122808,
1178,DMEWMA,10,0.4,1000,29.90005609,
1179,DMEWMA,10,0.4,2000,31.92165767,
1180,DMEWMA,10,0.5,100,22.84208475,
1181,DMEWMA,10,0.5,200,25.03,
1182,DMEWMA,10,0.5,500,27.997828,
1183,DMEWMA,10,0.5,1000,30.06823639,
1184,DMEWMA,10,0.5,2000,32.10120897,
1185,DMEWMA,10,0.6,100,22.91509182,
1186,DMEWMA,10,0.6,200,25.11,
1187,DMEWMA,10,0.6,500,28.08731367,
1188,DMEWMA,10,0.6,1000,30.16433943,
1189,DMEWMA,10,0.6,2000,32.20380972,
1190,DMEWMA,10,0.7,100,22.94246946,
1191,DMEWMA,10,0.7,200,25.14,
1192,DMEWMA,10,0.7,500,28.12087079,
1193,DMEWMA,10,0.7,1000,30.20037806,
1194,DMEWMA,10,0.7,2000,32.242285,
1195,DMEWMA,10,0.8,100,22.96984711,
1196,DMEWMA,10,0.8,200,25.17,
1197,DMEWMA,10,0.8,500,28.15442792,
1198,DMEWMA,10,0.8,1000,30.2364167,
1199,DMEWMA,10,0.8,2000,32.28076028,
1200,DMEWMA,10,0.9,100,22.98809888,
1201,DMEWMA,10,0.9,200,25.19,
1202,DMEWMA,10,0.9,500,28.17679934,
1203,DMEWMA,10,0.9,1000,30.26044246,
1204,DMEWMA,10,0.9,2000,32.30641047,
1205,DMEWMA,10,0.95,100,22.99722476,
1206,DMEWMA,10,0.95,200,25.2,
1207,DMEWMA,10,0.95,500,28.18798504,
1208,DMEWMA,10,0.95,1000,30.27245534,
1209,DMEWMA,10,0.95,2000,32.31923556,
1210,DMEWMA,15,0.05,100,25.844,
1211,DMEWMA,15,0.05,200,27.82,
1212,DMEWMA,15,0.05,500,31.887,
1213,DMEWMA,15,0.05,1000,34.351,
1214,DMEWMA,15,0.05,2000,36.72,
1215,DMEWMA,15,0.1,100,27.653,
1216,DMEWMA,15,0.1,200,30.03,
1217,DMEWMA,15,0.1,500,33.518,
1218,DMEWMA,15,0.1,1000,35.86,
1219,DMEWMA,15,0.1,2000,38.109,
1220,DMEWMA,15,0.2,100,29.161,
1221,DMEWMA,15,0.2,200,31.59,
1222,DMEWMA,15,0.2,500,34.693,
1223,DMEWMA,15,0.2,1000,36.911,
1224,DMEWMA,15,0.2,2000,39.047,
1225,DMEWMA,15,0.3,100,29.20830062,
1226,DMEWMA,15,0.3,200,32.19,
1227,DMEWMA,15,0.3,500,35.80097815,
1228,DMEWMA,15,0.3,1000,38.44842086,
1229,DMEWMA,15,0.3,2000,41.04799418,
1230,DMEWMA,15,0.4,100,29.52861911,
1231,DMEWMA,15,0.4,200,32.48,
1232,DMEWMA,15,0.4,500,36.19359651,
1233,DMEWMA,15,0.4,1000,38.87007291,
1234,DMEWMA,15,0.4,2000,41.49815496,
1235,DMEWMA,15,0.5,100,29.69471018,
1236,DMEWMA,15,0.5,200,32.63,
1237,DMEWMA,15,0.5,500,36.3971764,
1238,DMEWMA,15,0.5,1000,39.08870731,
1239,DMEWMA,15,0.5,2000,41.73157167,
1240,DMEWMA,15,0.6,100,29.78961936,
1241,DMEWMA,15,0.6,200,32.71,
1242,DMEWMA,15,0.6,500,36.51350777,
1243,DMEWMA,15,0.6,1000,39.21364125,
1244,DMEWMA,15,0.6,2000,41.86495264,
1245,DMEWMA,15,0.7,100,29.8252103,
1246,DMEWMA,15,0.7,200,32.75,
1247,DMEWMA,15,0.7,500,36.55713203,
1248,DMEWMA,15,0.7,1000,39.26049148,
1249,DMEWMA,15,0.7,2000,41.9149705,
1250,DMEWMA,15,0.8,100,29.86080125,
1251,DMEWMA,15,0.8,200,32.79,
1252,DMEWMA,15,0.8,500,36.60075629,
1253,DMEWMA,15,0.8,1000,39.30734171,
1254,DMEWMA,15,0.8,2000,41.96498837,
1255,DMEWMA,15,0.9,100,29.88452854,
1256,DMEWMA,15,0.9,200,32.83,
1257,DMEWMA,15,0.9,500,36.62983914,
1258,DMEWMA,15,0.9,1000,39.3385752,
1259,DMEWMA,15,0.9,2000,41.99833361,
1260,DMEWMA,15,0.95,100,29.89639219,
1261,DMEWMA,15,0.95,200,32.85,
1262,DMEWMA,15,0.95,500,36.64438056,
1263,DMEWMA,15,0.95,1000,39.35419194,
1264,DMEWMA,15,0.95,2000,42.01500623,
1265,DMEWMA,20,0.05,100,32.39,
1266,DMEWMA,20,0.05,200,35.293,
1267,DMEWMA,20,0.05,500,39.031,
1268,DMEWMA,20,0.05,1000,41.724,
1269,DMEWMA,20,0.05,2000,44.297,
1270,DMEWMA,20,0.1,100,34.378,
1271,DMEWMA,20,0.1,200,37.235,
1272,DMEWMA,20,0.1,500,40.806,
1273,DMEWMA,20,0.1,1000,43.36,
1274,DMEWMA,20,0.1,2000,45.778,
1275,DMEWMA,20,0.2,100,36.017,
1276,DMEWMA,20,0.2,200,38.727,
1277,DMEWMA,20,0.2,500,42.086,
1278,DMEWMA,20,0.2,1000,44.483,
1279,DMEWMA,20,0.2,2000,46.785,
1280,DMEWMA,20,0.3,100,35.63412676,
1281,DMEWMA,20,0.3,200,39.2718,
1282,DMEWMA,20,0.3,500,43.67719334,
1283,DMEWMA,20,0.3,1000,46.90707344,
1284,DMEWMA,20,0.3,2000,50.0785529,
1285,DMEWMA,20,0.4,100,36.02491532,
1286,DMEWMA,20,0.4,200,39.6256,
1287,DMEWMA,20,0.4,500,44.15618774,
1288,DMEWMA,20,0.4,1000,47.42148895,
1289,DMEWMA,20,0.4,2000,50.62774906,
1290,DMEWMA,20,0.5,100,36.22754642,
1291,DMEWMA,20,0.5,200,39.8086,
1292,DMEWMA,20,0.5,500,44.40455521,
1293,DMEWMA,20,0.5,1000,47.68822292,
1294,DMEWMA,20,0.5,2000,50.91251743,
1295,DMEWMA,20,0.6,100,36.34333562,
1296,DMEWMA,20,0.6,200,39.9062,
1297,DMEWMA,20,0.6,500,44.54647948,
1298,DMEWMA,20,0.6,1000,47.84064233,
1299,DMEWMA,20,0.6,2000,51.07524222,
1300,DMEWMA,20,0.7,100,36.38675657,
1301,DMEWMA,20,0.7,200,39.955,
1302,DMEWMA,20,0.7,500,44.59970108,
1303,DMEWMA,20,0.7,1000,47.89779961,
1304,DMEWMA,20,0.7,2000,51.13626401,
1305,DMEWMA,20,0.8,100,36.43017752,
1306,DMEWMA,20,0.8,200,40.0038,
1307,DMEWMA,20,0.8,500,44.65292268,
1308,DMEWMA,20,0.8,1000,47.95495689,
1309,DMEWMA,20,0.8,2000,51.19728581,
1310,DMEWMA,20,0.9,100,36.45912482,
1311,DMEWMA,20,0.9,200,40.0526,
1312,DMEWMA,20,0.9,500,44.68840375,
1313,DMEWMA,20,0.9,1000,47.99306174,
1314,DMEWMA,20,0.9,2000,51.237967,
1315,DMEWMA,20,0.95,100,36.47359847,
1316,DMEWMA,20,0.95,200,40.077,
1317,DMEWMA,20,0.95,500,44.70614428,
1318,DMEWMA,20,0.95,1000,48.01211417,
1319,DMEWMA,20,0.95,2000,51.2583076,
1320,DMEWMA,25,0.05,100,39.5158,
1321,DMEWMA,25,0.05,200,43.05746,
1322,DMEWMA,25,0.05,500,47.61782,
1323,DMEWMA,25,0.05,1000,50.90328,
1324,DMEWMA,25,0.05,2000,54.04234,
1325,DMEWMA,25,0.1,100,41.94116,
1326,DMEWMA,25,0.1,200,45.4267,
1327,DMEWMA,25,0.1,500,49.78332,
1328,DMEWMA,25,0.1,1000,52.8992,
1329,DMEWMA,25,0.1,2000,55.84916,
1330,DMEWMA,25,0.2,100,43.94074,
1331,DMEWMA,25,0.2,200,47.24694,
1332,DMEWMA,25,0.2,500,51.34492,
1333,DMEWMA,25,0.2,1000,54.26926,
1334,DMEWMA,25,0.2,2000,57.0777,
1335,DMEWMA,25,0.3,100,43.47363465,
1336,DMEWMA,25,0.3,200,47.911596,
1337,DMEWMA,25,0.3,500,53.28617587,
1338,DMEWMA,25,0.3,1000,57.2266296,
1339,DMEWMA,25,0.3,2000,61.09583454,
1340,DMEWMA,25,0.4,100,43.95039668,
1341,DMEWMA,25,0.4,200,48.343232,
1342,DMEWMA,25,0.4,500,53.87054905,
1343,DMEWMA,25,0.4,1000,57.85421652,
1344,DMEWMA,25,0.4,2000,61.76585385,
1345,DMEWMA,25,0.5,100,44.19760663,
1346,DMEWMA,25,0.5,200,48.566492,
1347,DMEWMA,25,0.5,500,54.17355736,
1348,DMEWMA,25,0.5,1000,58.17963196,
1349,DMEWMA,25,0.5,2000,62.11327127,
1350,DMEWMA,25,0.6,100,44.33886946,
1351,DMEWMA,25,0.6,200,48.685564,
1352,DMEWMA,25,0.6,500,54.34670496,
1353,DMEWMA,25,0.6,1000,58.36558364,
1354,DMEWMA,25,0.6,2000,62.31179551,
1355,DMEWMA,25,0.7,100,44.39184302,
1356,DMEWMA,25,0.7,200,48.7451,
1357,DMEWMA,25,0.7,500,54.41163532,
1358,DMEWMA,25,0.7,1000,58.43531552,
1359,DMEWMA,25,0.7,2000,62.3862421,
1360,DMEWMA,25,0.8,100,44.44481658,
1361,DMEWMA,25,0.8,200,48.804636,
1362,DMEWMA,25,0.8,500,54.47656567,
1363,DMEWMA,25,0.8,1000,58.5050474,
1364,DMEWMA,25,0.8,2000,62.46068869,
1365,DMEWMA,25,0.9,100,44.48013228,
1366,DMEWMA,25,0.9,200,48.864172,
1367,DMEWMA,25,0.9,500,54.51985257,
1368,DMEWMA,25,0.9,1000,58.55153532,
1369,DMEWMA,25,0.9,2000,62.51031975,
1370,DMEWMA,25,0.95,100,44.49779013,
1371,DMEWMA,25,0.95,200,48.89394,
1372,DMEWMA,25,0.95,500,54.54149602,
1373,DMEWMA,25,0.95,1000,58.57477928,
1374,DMEWMA,25,0.95,2000,62.53513528,
1375,DMEWMA,50,0.05,100,48.209276,
1376,DMEWMA,50,0.05,200,52.5301012,
1377,DMEWMA,50,0.05,500,58.0937404,
1378,DMEWMA,50,0.05,1000,62.1020016,
1379,DMEWMA,50,0.05,2000,65.9316548,
1380,DMEWMA,50,0.1,100,51.1682152,
1381,DMEWMA,50,0.1,200,55.420574,
1382,DMEWMA,50,0.1,500,60.7356504,
1383,DMEWMA,50,0.1,1000,64.537024,
1384,DMEWMA,50,0.1,2000,68.1359752,
1385,DMEWMA,50,0.2,100,53.6077028,
1386,DMEWMA,50,0.2,200,57.6412668,
1387,DMEWMA,50,0.2,500,62.6408024,
1388,DMEWMA,50,0.2,1000,66.2084972,
1389,DMEWMA,50,0.2,2000,69.634794,
1390,DMEWMA,50,0.3,100,53.03783427,
1391,DMEWMA,50,0.3,200,58.45214712,
1392,DMEWMA,50,0.3,500,65.00913457,
1393,DMEWMA,50,0.3,1000,69.81648811,
1394,DMEWMA,50,0.3,2000,74.53691814,
1395,DMEWMA,50,0.4,100,53.61948396,
1396,DMEWMA,50,0.4,200,58.97874304,
1397,DMEWMA,50,0.4,500,65.72206984,
1398,DMEWMA,50,0.4,1000,70.58214416,
1399,DMEWMA,50,0.4,2000,75.3543417,
1400,DMEWMA,50,0.5,100,53.92108009,
1401,DMEWMA,50,0.5,200,59.25112024,
1402,DMEWMA,50,0.5,500,66.09173998,
1403,DMEWMA,50,0.5,1000,70.979151,
1404,DMEWMA,50,0.5,2000,75.77819095,
1405,DMEWMA,50,0.6,100,54.09342074,
1406,DMEWMA,50,0.6,200,59.39638808,
1407,DMEWMA,50,0.6,500,66.30298006,
1408,DMEWMA,50,0.6,1000,71.20601205,
1409,DMEWMA,50,0.6,2000,76.02039052,
1410,DMEWMA,50,0.7,100,54.15804848,
1411,DMEWMA,50,0.7,200,59.469022,
1412,DMEWMA,50,0.7,500,66.38219509,
1413,DMEWMA,50,0.7,1000,71.29108494,
1414,DMEWMA,50,0.7,2000,76.11121536,
1415,DMEWMA,50,0.8,100,54.22267622,
1416,DMEWMA,50,0.8,200,59.54165592,
1417,DMEWMA,50,0.8,500,66.46141012,
1418,DMEWMA,50,0.8,1000,71.37615783,
1419,DMEWMA,50,0.8,2000,76.2020402,
1420,DMEWMA,50,0.9,100,54.26576138,
1421,DMEWMA,50,0.9,200,59.61428984,
1422,DMEWMA,50,0.9,500,66.51422014,
1423,DMEWMA,50,0.9,1000,71.43287309,
1424,DMEWMA,50,0.9,2000,76.26259009,
1425,DMEWMA,50,0.95,100,54.28730396,
1426,DMEWMA,50,0.95,200,59.6506068,
1427,DMEWMA,50,0.95,500,66.54062515,
1428,DMEWMA,50,0.95,1000,71.46123073,
1429,DMEWMA,50,0.95,2000,76.29286504,
1430,ssMEWMA,2,0.05,100,6.242,
1431,ssMEWMA,2,0.05,200,7.35,
1432,ssMEWMA,2,0.05,500,9.729,
1433,ssMEWMA,2,0.05,1000,11.308,
1434,ssMEWMA,2,0.05,2000,12.878,
1435,ssMEWMA,2,0.1,100,7.262,
1436,ssMEWMA,2,0.1,200,8.64,
1437,ssMEWMA,2,0.1,500,10.827,
1438,ssMEWMA,2,0.1,1000,12.371,
1439,ssMEWMA,2,0.1,2000,13.882,
1440,ssMEWMA,2,0.2,100,8.211,
1441,ssMEWMA,2,0.2,200,9.65,
1442,ssMEWMA,2,0.2,500,11.688,
1443,ssMEWMA,2,0.2,1000,13.174,
1444,ssMEWMA,2,0.2,2000,14.644,
1445,ssMEWMA,2,0.3,100,8.576878756,
1446,ssMEWMA,2,0.3,200,10.08,
1447,ssMEWMA,2,0.3,500,12.20881244,
1448,ssMEWMA,2,0.3,1000,13.76102798,
1449,ssMEWMA,2,0.3,2000,15.29653057,
1450,ssMEWMA,2,0.4,100,8.772581347,
1451,ssMEWMA,2,0.4,200,10.31,
1452,ssMEWMA,2,0.4,500,12.48738653,
1453,ssMEWMA,2,0.4,1000,14.07501969,
1454,ssMEWMA,2,0.4,2000,15.64555855,
1455,ssMEWMA,2,0.5,100,8.883195855,
1456,ssMEWMA,2,0.5,200,10.44,
1457,ssMEWMA,2,0.5,500,12.64484145,
1458,ssMEWMA,2,0.5,1000,14.25249326,
1459,ssMEWMA,2,0.5,2000,15.84283523,
1460,ssMEWMA,2,0.6,100,8.951266321,
1461,ssMEWMA,2,0.6,200,10.52,
1462,ssMEWMA,2,0.6,500,12.74173679,
1463,ssMEWMA,2,0.6,1000,14.36170777,
1464,ssMEWMA,2,0.6,2000,15.96423627,
1465,ssMEWMA,2,0.7,100,8.976792746,
1466,ssMEWMA,2,0.7,200,10.55,
1467,ssMEWMA,2,0.7,500,12.77807254,
1468,ssMEWMA,2,0.7,1000,14.40266321,
1469,ssMEWMA,2,0.7,2000,16.00976166,
1470,ssMEWMA,2,0.8,100,9.002319171,
1471,ssMEWMA,2,0.8,200,10.58,
1472,ssMEWMA,2,0.8,500,12.81440829,
1473,ssMEWMA,2,0.8,1000,14.44361865,
1474,ssMEWMA,2,0.8,2000,16.05528705,
1475,ssMEWMA,2,0.9,100,9.019336788,
1476,ssMEWMA,2,0.9,200,10.6,
1477,ssMEWMA,2,0.9,500,12.83863212,
1478,ssMEWMA,2,0.9,1000,14.47092228,
1479,ssMEWMA,2,0.9,2000,16.08563731,
1480,ssMEWMA,2,0.95,100,9.027845596,
1481,ssMEWMA,2,0.95,200,10.61,
1482,ssMEWMA,2,0.95,500,12.85074404,
1483,ssMEWMA,2,0.95,1000,14.48457409,
1484,ssMEWMA,2,0.95,2000,16.10081244,
1485,ssMEWMA,3,0.05,100,8.152,
1486,ssMEWMA,3,0.05,200,9.773,
1487,ssMEWMA,3,0.05,500,11.997,
1488,ssMEWMA,3,0.05,1000,13.68,
1489,ssMEWMA,3,0.05,2000,15.353,
1490,ssMEWMA,3,0.1,100,9.275,
1491,ssMEWMA,3,0.1,200,10.956,
1492,ssMEWMA,3,0.1,500,13.165,
1493,ssMEWMA,3,0.1,1000,14.805,
1494,ssMEWMA,3,0.1,2000,16.41,
1495,ssMEWMA,3,0.2,100,10.924,
1496,ssMEWMA,3,0.2,200,11.93,
1497,ssMEWMA,3,0.2,500,14.055,
1498,ssMEWMA,3,0.2,1000,15.632,
1499,ssMEWMA,3,0.2,2000,17.184,
1500,ssMEWMA,3,0.3,100,10.72109845,
1501,ssMEWMA,3,0.3,200,12.6,
1502,ssMEWMA,3,0.3,500,15.26101554,
1503,ssMEWMA,3,0.3,1000,17.20128497,
1504,ssMEWMA,3,0.3,2000,19.12066321,
1505,ssMEWMA,3,0.4,100,10.96572668,
1506,ssMEWMA,3,0.4,200,12.8875,
1507,ssMEWMA,3,0.4,500,15.60923316,
1508,ssMEWMA,3,0.4,1000,17.59377461,
1509,ssMEWMA,3,0.4,2000,19.55694819,
1510,ssMEWMA,3,0.5,100,11.10399482,
1511,ssMEWMA,3,0.5,200,13.05,
1512,ssMEWMA,3,0.5,500,15.80605181,
1513,ssMEWMA,3,0.5,1000,17.81561658,
1514,ssMEWMA,3,0.5,2000,19.80354404,
1515,ssMEWMA,3,0.6,100,11.1890829,
1516,ssMEWMA,3,0.6,200,13.15,
1517,ssMEWMA,3,0.6,500,15.92717098,
1518,ssMEWMA,3,0.6,1000,17.95213472,
1519,ssMEWMA,3,0.6,2000,19.95529534,
1520,ssMEWMA,3,0.7,100,11.22099093,
1521,ssMEWMA,3,0.7,200,13.1875,
1522,ssMEWMA,3,0.7,500,15.97259067,
1523,ssMEWMA,3,0.7,1000,18.00332902,
1524,ssMEWMA,3,0.7,2000,20.01220207,
1525,ssMEWMA,3,0.8,100,11.25289896,
1526,ssMEWMA,3,0.8,200,13.225,
1527,ssMEWMA,3,0.8,500,16.01801036,
1528,ssMEWMA,3,0.8,1000,18.05452332,
1529,ssMEWMA,3,0.8,2000,20.06910881,
1530,ssMEWMA,3,0.9,100,11.27417098,
1531,ssMEWMA,3,0.9,200,13.25,
1532,ssMEWMA,3,0.9,500,16.04829016,
1533,ssMEWMA,3,0.9,1000,18.08865285,
1534,ssMEWMA,3,0.9,2000,20.10704663,
1535,ssMEWMA,3,0.95,100,11.28480699,
1536,ssMEWMA,3,0.95,200,13.2625,
1537,ssMEWMA,3,0.95,500,16.06343005,
1538,ssMEWMA,3,0.95,1000,18.10571762,
1539,ssMEWMA,3,0.95,2000,20.12601554,
1540,ssMEWMA,4,0.05,100,9.895,
1541,ssMEWMA,4,0.05,200,11.22,
1542,ssMEWMA,4,0.05,500,14.024,
1543,ssMEWMA,4,0.05,1000,15.81,
1544,ssMEWMA,4,0.05,2000,17.563,
1545,ssMEWMA,4,0.1,100,11.119,
1546,ssMEWMA,4,0.1,200,12.73,
1547,ssMEWMA,4,0.1,500,15.246,
1548,ssMEWMA,4,0.1,1000,16.975,
1549,ssMEWMA,4,0.1,2000,18.659,
1550,ssMEWMA,4,0.2,100,12.194,
1551,ssMEWMA,4,0.2,200,13.87,
1552,ssMEWMA,4,0.2,500,16.177,
1553,ssMEWMA,4,0.2,1000,17.829,
1554,ssMEWMA,4,0.2,2000,19.452,
1555,ssMEWMA,4,0.3,100,12.60720692,
1556,ssMEWMA,4,0.3,200,14.34,
1557,ssMEWMA,4,0.3,500,16.7251752,
1558,ssMEWMA,4,0.3,1000,18.43315501,
1559,ssMEWMA,4,0.3,2000,20.11115213,
1560,ssMEWMA,4,0.4,100,12.8182062,
1561,ssMEWMA,4,0.4,200,14.58,
1562,ssMEWMA,4,0.4,500,17.00509445,
1563,ssMEWMA,4,0.4,1000,18.7416597,
1564,ssMEWMA,4,0.4,2000,20.44774045,
1565,ssMEWMA,4,0.5,100,12.93249748,
1566,ssMEWMA,4,0.5,200,14.71,
1567,ssMEWMA,4,0.5,500,17.15671738,
1568,ssMEWMA,4,0.5,1000,18.9087664,
1569,ssMEWMA,4,0.5,2000,20.63005912,
1570,ssMEWMA,4,0.6,100,12.99403893,
1571,ssMEWMA,4,0.6,200,14.78,
1572,ssMEWMA,4,0.6,500,17.23836049,
1573,ssMEWMA,4,0.6,1000,18.99874694,
1574,ssMEWMA,4,0.6,2000,20.72823071,
1575,ssMEWMA,4,0.7,100,13.02920548,
1576,ssMEWMA,4,0.7,200,14.82,
1577,ssMEWMA,4,0.7,500,17.2850137,
1578,ssMEWMA,4,0.7,1000,19.05016438,
1579,ssMEWMA,4,0.7,2000,20.78432877,
1580,ssMEWMA,4,0.8,100,13.05558039,
1581,ssMEWMA,4,0.8,200,14.85,
1582,ssMEWMA,4,0.8,500,17.3200036,
1583,ssMEWMA,4,0.8,1000,19.08872747,
1584,ssMEWMA,4,0.8,2000,20.82640231,
1585,ssMEWMA,4,0.9,100,13.07316366,
1586,ssMEWMA,4,0.9,200,14.87,
1587,ssMEWMA,4,0.9,500,17.34333021,
1588,ssMEWMA,4,0.9,1000,19.11443619,
1589,ssMEWMA,4,0.9,2000,20.85445133,
1590,ssMEWMA,4,0.95,100,13.0819553,
1591,ssMEWMA,4,0.95,200,14.88,
1592,ssMEWMA,4,0.95,500,17.35499351,
1593,ssMEWMA,4,0.95,1000,19.12729056,
1594,ssMEWMA,4,0.95,2000,20.86847585,
1595,ssMEWMA,5,0.05,100,11.55,
1596,ssMEWMA,5,0.05,200,13.412,
1597,ssMEWMA,5,0.05,500,15.92,
1598,ssMEWMA,5,0.05,1000,17.792,
1599,ssMEWMA,5,0.05,2000,19.623,
1600,ssMEWMA,5,0.1,100,12.84,
1601,ssMEWMA,5,0.1,200,14.736,
1602,ssMEWMA,5,0.1,500,17.186,
1603,ssMEWMA,5,0.1,1000,18.996,
1604,ssMEWMA,5,0.1,2000,20.755,
1605,ssMEWMA,5,0.2,100,13.982,
1606,ssMEWMA,5,0.2,200,15.811,
1607,ssMEWMA,5,0.2,500,18.154,
1608,ssMEWMA,5,0.2,1000,19.878,
1609,ssMEWMA,5,0.2,2000,21.56,
1610,ssMEWMA,5,0.3,100,14.24614382,
1611,ssMEWMA,5,0.3,200,16.2042,
1612,ssMEWMA,5,0.3,500,18.89944797,
1613,ssMEWMA,5,0.3,1000,20.82946516,
1614,ssMEWMA,5,0.3,2000,22.7256019,
1615,ssMEWMA,5,0.4,100,14.48457301,
1616,ssMEWMA,5,0.4,200,16.4754,
1617,ssMEWMA,5,0.4,500,19.21575673,
1618,ssMEWMA,5,0.4,1000,21.17807546,
1619,ssMEWMA,5,0.4,2000,23.10594671,
1620,ssMEWMA,5,0.5,100,14.61372215,
1621,ssMEWMA,5,0.5,200,16.6223,
1622,ssMEWMA,5,0.5,500,19.38709063,
1623,ssMEWMA,5,0.5,1000,21.36690603,
1624,ssMEWMA,5,0.5,2000,23.31196681,
1625,ssMEWMA,5,0.6,100,14.68326399,
1626,ssMEWMA,5,0.6,200,16.7014,
1627,ssMEWMA,5,0.6,500,19.47934735,
1628,ssMEWMA,5,0.6,1000,21.46858404,
1629,ssMEWMA,5,0.6,2000,23.42290071,
1630,ssMEWMA,5,0.7,100,14.72300219,
1631,ssMEWMA,5,0.7,200,16.7466,
1632,ssMEWMA,5,0.7,500,19.53206548,
1633,ssMEWMA,5,0.7,1000,21.52668575,
1634,ssMEWMA,5,0.7,2000,23.48629151,
1635,ssMEWMA,5,0.8,100,14.75280584,
1636,ssMEWMA,5,0.8,200,16.7805,
1637,ssMEWMA,5,0.8,500,19.57160407,
1638,ssMEWMA,5,0.8,1000,21.57026204,
1639,ssMEWMA,5,0.8,2000,23.53383461,
1640,ssMEWMA,5,0.9,100,14.77267494,
1641,ssMEWMA,5,0.9,200,16.8031,
1642,ssMEWMA,5,0.9,500,19.59796314,
1643,ssMEWMA,5,0.9,1000,21.5993129,
1644,ssMEWMA,5,0.9,2000,23.56553001,
1645,ssMEWMA,5,0.95,100,14.78260949,
1646,ssMEWMA,5,0.95,200,16.8144,
1647,ssMEWMA,5,0.95,500,19.61114267,
1648,ssMEWMA,5,0.95,1000,21.61383833,
1649,ssMEWMA,5,0.95,2000,23.58137771,
1650,ssMEWMA,6,0.05,100,13.102,
1651,ssMEWMA,6,0.05,200,14.6,
1652,ssMEWMA,6,0.05,500,18.154,
1653,ssMEWMA,6,0.05,1000,19.878,
1654,ssMEWMA,6,0.05,2000,21.56,
1655,ssMEWMA,6,0.1,100,14.459,
1656,ssMEWMA,6,0.1,200,16.27,
1657,ssMEWMA,6,0.1,500,18.999,
1658,ssMEWMA,6,0.1,1000,20.867,
1659,ssMEWMA,6,0.1,2000,22.678,
1660,ssMEWMA,6,0.2,100,15.636,
1661,ssMEWMA,6,0.2,200,17.51,
1662,ssMEWMA,6,0.2,500,19.982,
1663,ssMEWMA,6,0.2,1000,21.769,
1664,ssMEWMA,6,0.2,2000,23.5,
1665,ssMEWMA,6,0.3,100,16.08248772,
1666,ssMEWMA,6,0.3,200,18.01,
1667,ssMEWMA,6,0.3,500,20.55258824,
1668,ssMEWMA,6,0.3,1000,22.39061622,
1669,ssMEWMA,6,0.3,2000,24.17104512,
1670,ssMEWMA,6,0.4,100,16.30573158,
1671,ssMEWMA,6,0.4,200,18.26,
1672,ssMEWMA,6,0.4,500,20.83788235,
1673,ssMEWMA,6,0.4,1000,22.70142433,
1674,ssMEWMA,6,0.4,2000,24.50656768,
1675,ssMEWMA,6,0.5,100,16.42181839,
1676,ssMEWMA,6,0.5,200,18.39,
1677,ssMEWMA,6,0.5,500,20.98623529,
1678,ssMEWMA,6,0.5,1000,22.86304455,
1679,ssMEWMA,6,0.5,2000,24.68103941,
1680,ssMEWMA,6,0.6,100,16.49325642,
1681,ssMEWMA,6,0.6,200,18.47,
1682,ssMEWMA,6,0.6,500,21.07752941,
1683,ssMEWMA,6,0.6,1000,22.96250314,
1684,ssMEWMA,6,0.6,2000,24.78840662,
1685,ssMEWMA,6,0.7,100,16.52004569,
1686,ssMEWMA,6,0.7,200,18.5,
1687,ssMEWMA,6,0.7,500,21.11176471,
1688,ssMEWMA,6,0.7,1000,22.99980011,
1689,ssMEWMA,6,0.7,2000,24.82866933,
1690,ssMEWMA,6,0.8,100,16.55576471,
1691,ssMEWMA,6,0.8,200,18.54,
1692,ssMEWMA,6,0.8,500,21.15741176,
1693,ssMEWMA,6,0.8,1000,23.04952941,
1694,ssMEWMA,6,0.8,2000,24.88235294,
1695,ssMEWMA,6,0.9,100,16.57362421,
1696,ssMEWMA,6,0.9,200,18.56,
1697,ssMEWMA,6,0.9,500,21.18023529,
1698,ssMEWMA,6,0.9,1000,23.07439406,
1699,ssMEWMA,6,0.9,2000,24.90919475,
1700,ssMEWMA,6,0.95,100,16.59148372,
1701,ssMEWMA,6,0.95,200,18.58,
1702,ssMEWMA,6,0.95,500,21.20305882,
1703,ssMEWMA,6,0.95,1000,23.09925871,
1704,ssMEWMA,6,0.95,2000,24.93603655,
1705,ssMEWMA,7,0.05,100,14.628,
1706,ssMEWMA,7,0.05,200,16.68,
1707,ssMEWMA,7,0.05,500,19.409,
1708,ssMEWMA,7,0.05,1000,21.425,
1709,ssMEWMA,7,0.05,2000,23.378,
1710,ssMEWMA,7,0.1,100,16.044,
1711,ssMEWMA,7,0.1,200,18.114,
1712,ssMEWMA,7,0.1,500,20.762,
1713,ssMEWMA,7,0.1,1000,22.699,
1714,ssMEWMA,7,0.1,2000,24.574,
1715,ssMEWMA,7,0.2,100,17.26,
1716,ssMEWMA,7,0.2,200,19.254,
1717,ssMEWMA,7,0.2,500,21.776,
1718,ssMEWMA,7,0.2,1000,23.613,
1719,ssMEWMA,7,0.2,2000,25.412,
1720,ssMEWMA,7,0.3,100,17.52991162,
1721,ssMEWMA,7,0.3,200,19.6309,
1722,ssMEWMA,7,0.3,500,22.40232118,
