Method,Dimension,Lambda,ARL,h,ARL_observed
DMEWMA,5,0.6,1000,20.2469043525,999.9215
DMEWMA,5,0.6,2000,21.86430696,2000.7471
DMEWMA,5,0.7,100,14.66831469,99.9596
DMEWMA,5,0.7,200,16.5044125,199.8966
DMEWMA,5,0.7,500,18.73519048,500.3053
DMEWMA,5,0.7,1000,20.3665295,999.314
DMEWMA,5,0.7,2000,22.02144776,2000.5511551155
DMEWMA,5,0.8,100,14.87780584,99.9715
DMEWMA,5,0.8,200,16.5695625,199.9517
DMEWMA,5,0.8,500,18.82551032,499.7099
DMEWMA,5,0.8,1000,20.451121415,1000.6346
DMEWMA,5,0.8,2000,22.09242836,1999.2232
DMEWMA,5,0.9,100,14.91329994,100.0311
DMEWMA,5,0.9,200,16.631225,199.9072
DMEWMA,5,0.9,500,18.85577564,500.0227
DMEWMA,5,0.9,1000,20.48603165,1000.3954
DMEWMA,5,0.9,2000,22.07724876,1998.0442
DMEWMA,5,0.95,100,14.91542199,100.0639
DMEWMA,5,0.95,200,16.6503375,200.1471
DMEWMA,5,0.95,500,18.87286142,500.2178
DMEWMA,5,0.95,1000,20.45368208,1000.372
DMEWMA,5,0.95,2000,22.1018855225,1999.518
DMEWMA,6,0.05,100,8.89496875,100.0114
DMEWMA,6,0.05,200,10.896875,199.9685
DMEWMA,6,0.05,500,13.513375,500.0442
DMEWMA,6,0.05,1000,15.48346875,999.8954
DMEWMA,6,0.05,2000,17.4584375,1999.5891589159
DMEWMA,6,0.1,100,10.7324375,99.9907
DMEWMA,6,0.1,200,12.81296875,200.037
DMEWMA,6,0.1,500,15.547828125,499.9436
DMEWMA,6,0.1,1000,17.48028125,1000.2805
DMEWMA,6,0.1,2000,19.39675,1999.5181
DMEWMA,6,0.2,100,12.78834375,99.9054
DMEWMA,6,0.2,200,14.926015625,200.0912
DMEWMA,6,0.2,500,17.585515625,499.7532
DMEWMA,6,0.2,1000,19.4926328125,999.3571
DMEWMA,6,0.2,2000,21.30859375,1999.6373
DMEWMA,6,0.3,100,14.09030022,100.0397
DMEWMA,6,0.3,200,16.187734375,199.836
DMEWMA,6,0.3,500,18.788916365,500.434
DMEWMA,6,0.3,1000,20.64452247,1000.1119
DMEWMA,6,0.3,2000,22.454248245,1998.7069
DMEWMA,6,0.4,100,14.96979408,99.9225
DMEWMA,6,0.4,200,17.04125,200.1247
DMEWMA,6,0.4,500,19.589835475,499.8112
DMEWMA,6,0.4,1000,21.406502455000002,999.2986
DMEWMA,6,0.4,2000,23.1559817425,1998.4783
DMEWMA,6,0.5,100,15.61322464,100.038
DMEWMA,6,0.5,200,17.6321875,200.1409
DMEWMA,6,0.5,500,20.11123529,499.947
DMEWMA,6,0.5,1000,21.89429455,1000.664
DMEWMA,6,0.5,2000,23.620492535,2001.8778
DMEWMA,6,0.6,100,16.06356892,100.0926
DMEWMA,6,0.6,200,18.0246875,199.9396
DMEWMA,6,0.6,500,20.46424816,500.0312
DMEWMA,6,0.6,1000,22.23203439,1000.0344
DMEWMA,6,0.6,2000,23.90559412,1998.4692
DMEWMA,6,0.7,100,16.35598319,100.0394
DMEWMA,6,0.7,200,18.25,199.8767
DMEWMA,6,0.7,500,20.65082721,499.6672
DMEWMA,6,0.7,1000,22.423628235,999.3423
DMEWMA,6,0.7,2000,24.053278705,2000.458
DMEWMA,6,0.8,100,16.49326471,99.9179
DMEWMA,6,0.8,200,18.37984375,199.9704
DMEWMA,6,0.8,500,20.72381801,499.8828
DMEWMA,6,0.8,1000,22.46749816,1000.3677
DMEWMA,6,0.8,2000,24.10500919,2000.0821082108
DMEWMA,6,0.9,100,16.58362421,100.03
DMEWMA,6,0.9,200,18.4115625,199.8449
DMEWMA,6,0.9,500,20.713438415,499.913
DMEWMA,6,0.9,1000,22.42986281,999.6385
DMEWMA,6,0.9,2000,24.08888225,2001.2910291029
DMEWMA,6,0.95,100,16.60648372,100.081
DMEWMA,6,0.95,200,18.439375,199.9221
DMEWMA,6,0.95,500,20.73430882,500.0911
DMEWMA,6,0.95,1000,22.44691496,1000.6131
DMEWMA,6,0.95,2000,24.08447405,2000.4352
DMEWMA,7,0.05,100,10.18659375,100.0518
DMEWMA,7,0.05,200,12.26203125,200.1217
DMEWMA,7,0.05,500,15.0701328125,500.1216
DMEWMA,7,0.05,1000,17.165234375,1000.2831
DMEWMA,7,0.05,2000,19.1826875,1999.7858
DMEWMA,7,0.1,100,12.09478125,100.0303
DMEWMA,7,0.1,200,14.287828125,199.9798
DMEWMA,7,0.1,500,17.18778125,500.185
DMEWMA,7,0.1,1000,19.2536875,1000.069
DMEWMA,7,0.1,2000,21.204859375,1998.2498249825
DMEWMA,7,0.2,100,14.29515625,99.9386
DMEWMA,7,0.2,200,16.576265625,199.9235
DMEWMA,7,0.2,500,19.3385,499.9374
DMEWMA,7,0.2,1000,21.28096875,1000.5416
DMEWMA,7,0.2,2000,23.17371875,2001.1162116212
DMEWMA,7,0.3,100,15.660770995,99.9865
DMEWMA,7,0.3,200,17.8262125,199.967
DMEWMA,7,0.3,500,20.544899305,499.8217
DMEWMA,7,0.3,1000,22.501474805,1000.9962
DMEWMA,7,0.3,2000,24.371829805,1998.9518
DMEWMA,7,0.4,100,16.56230992,99.9674
DMEWMA,7,0.4,200,18.71199375,199.8925
DMEWMA,7,0.4,500,21.37735426,500.271
DMEWMA,7,0.4,1000,23.285568145,999.0264
DMEWMA,7,0.4,2000,25.1096197075,1999.3622362236
DMEWMA,7,0.5,100,17.20446954,99.957
DMEWMA,7,0.5,200,19.3185375,200.0081
DMEWMA,7,0.5,500,21.92968397,500.0525
DMEWMA,7,0.5,1000,23.80743731,1000.6096
DMEWMA,7,0.5,2000,25.5312392,1999.3001
DMEWMA,7,0.6,100,17.66905575,100.035
DMEWMA,7,0.6,200,19.741675,199.8301
DMEWMA,7,0.6,500,22.27528831,500.2851
DMEWMA,7,0.6,1000,24.06037842,1000.3526
DMEWMA,7,0.6,2000,25.78889447,1998.658
DMEWMA,7,0.7,100,17.9521623,100.0866
DMEWMA,7,0.7,200,19.94234375,200.0677
DMEWMA,7,0.7,500,22.42197978,500.0471
DMEWMA,7,0.7,1000,24.19478212,1000.9649
DMEWMA,7,0.7,2000,25.96168707,2001.9134913491
DMEWMA,7,0.8,100,18.10828353,100.0672
DMEWMA,7,0.8,200,20.04844375,199.9537
DMEWMA,7,0.8,500,22.53032882,500.4977
DMEWMA,7,0.8,1000,24.25289331,999.9288
DMEWMA,7,0.8,2000,25.98504596,1998.2141
DMEWMA,7,0.9,100,18.19806289,100.0087
DMEWMA,7,0.9,200,20.1054,200.0223
DMEWMA,7,0.9,500,22.53176897,499.542
DMEWMA,7,0.9,1000,24.27218328,1000.5688
DMEWMA,7,0.9,2000,26.00258477,1998.2765553111
DMEWMA,7,0.95,100,18.22534226,99.9296
DMEWMA,7,0.95,200,20.14673125,200.0035
DMEWMA,7,0.95,500,22.52539662,500.361
DMEWMA,7,0.95,1000,24.27194199,999.3229
DMEWMA,7,0.95,2000,25.9878970275,2000.7809780978
DMEWMA,8,0.05,100,11.33346875,99.9393
DMEWMA,8,0.05,200,13.5929375,200.0692
DMEWMA,8,0.05,500,16.528125,499.6203
DMEWMA,8,0.05,1000,18.72159375,999.7931
DMEWMA,8,0.05,2000,20.785609375,2001.0721072107
DMEWMA,8,0.1,100,13.37396875,100.0491
DMEWMA,8,0.1,200,15.7702734375,200.126
DMEWMA,8,0.1,500,18.737109375,500.0883
DMEWMA,8,0.1,1000,20.848546875,999.1567
DMEWMA,8,0.1,2000,22.889125,2000.9206
DMEWMA,8,0.2,100,15.75825,99.9792
DMEWMA,8,0.2,200,18.10421875,199.8272
DMEWMA,8,0.2,500,20.99546875,500.3212
DMEWMA,8,0.2,1000,23.01365625,1000.0917
DMEWMA,8,0.2,2000,24.9785625,1999.455
DMEWMA,8,0.3,100,17.13981793,99.9593
DMEWMA,8,0.3,200,19.46990675,199.8094
DMEWMA,8,0.3,500,22.265405535,500.2326
DMEWMA,8,0.3,1000,24.233316325,999.5899
DMEWMA,8,0.3,2000,26.12818992,2001.3432
DMEWMA,8,0.4,100,18.16581224,99.9213
DMEWMA,8,0.4,200,20.374763,199.9758
DMEWMA,8,0.4,500,23.11962844,499.6641
DMEWMA,8,0.4,1000,25.0264758775,1000.0228
DMEWMA,8,0.4,2000,26.89450988,1998.0695
DMEWMA,8,0.5,100,18.82464179,100.0583
DMEWMA,8,0.5,200,21.02247575,199.9415
DMEWMA,8,0.5,500,23.62858997,499.6624
DMEWMA,8,0.5,1000,25.5489579125,1000.2125
DMEWMA,8,0.5,2000,27.35580876,1998.7298
DMEWMA,8,0.6,100,19.30639747,100.0099
DMEWMA,8,0.6,200,21.400936,199.86
DMEWMA,8,0.6,500,23.9616288,500.3325
DMEWMA,8,0.6,1000,25.82804241,999.0489
DMEWMA,8,0.6,2000,27.64509365,2000.6418
DMEWMA,8,0.7,100,19.56029804,100.0141
DMEWMA,8,0.7,200,21.6312375,200.0463
DMEWMA,8,0.7,500,24.18905743,500.1408
DMEWMA,8,0.7,1000,26.01216687,999.3508
DMEWMA,8,0.7,2000,27.7594348525,1998.3912
DMEWMA,8,0.8,100,19.71914463,99.9002
DMEWMA,8,0.8,200,21.7560145,200.0266
DMEWMA,8,0.8,500,24.27745184,499.7121
DMEWMA,8,0.8,1000,26.09360365,999.7964
DMEWMA,8,0.8,2000,27.8454835525,1998.8684
DMEWMA,8,0.9,100,19.79075542,99.9489
DMEWMA,8,0.9,200,21.80668425,200.0122
DMEWMA,8,0.9,500,24.32750842,499.7372
DMEWMA,8,0.9,1000,26.13041579,999.1745
DMEWMA,8,0.9,2000,27.86800008,1998.1112
DMEWMA,8,0.95,100,19.80377247,100.08
DMEWMA,8,0.95,200,21.841729,199.9777
DMEWMA,8,0.95,500,24.30725251,500.3386
DMEWMA,8,0.95,1000,26.14769668,999.1138
DMEWMA,8,0.95,2000,27.87586818,1999.3631
