Method,Dimension,Lambda,ARL,h
DMEWMA,25,0.9,1000,58.55153532
DMEWMA,25,0.9,2000,62.51031975
DMEWMA,25,0.95,100,44.49779013
DMEWMA,25,0.95,200,48.89394
DMEWMA,25,0.95,500,54.54149602
DMEWMA,25,0.95,1000,58.57477928
DMEWMA,25,0.95,2000,62.53513528
DMEWMA,50,0.05,100,48.209276
DMEWMA,50,0.05,200,52.5301012
DMEWMA,50,0.05,500,58.0937404
DMEWMA,50,0.05,1000,62.1020016
DMEWMA,50,0.05,2000,65.9316548
DMEWMA,50,0.1,100,51.1682152
DMEWMA,50,0.1,200,55.420574
DMEWMA,50,0.1,500,60.7356504
DMEWMA,50,0.1,1000,64.537024
DMEWMA,50,0.1,2000,68.1359752
DMEWMA,50,0.2,100,53.6077028
DMEWMA,50,0.2,200,57.6412668
DMEWMA,50,0.2,500,62.6408024
DMEWMA,50,0.2,1000,66.2084972
DMEWMA,50,0.2,2000,69.634794
DMEWMA,50,0.3,100,53.03783427
DMEWMA,50,0.3,200,58.45214712
DMEWMA,50,0.3,500,65.00913457
DMEWMA,50,0.3,1000,69.81648811
DMEWMA,50,0.3,2000,74.53691814
DMEWMA,50,0.4,100,53.61948396
DMEWMA,50,0.4,200,58.97874304
DMEWMA,50,0.4,500,65.72206984
DMEWMA,50,0.4,1000,70.58214416
DMEWMA,50,0.4,2000,75.3543417
DMEWMA,50,0.5,100,53.92108009
DMEWMA,50,0.5,200,59.25112024
DMEWMA,50,0.5,500,66.09173998
DMEWMA,50,0.5,1000,70.979151
DMEWMA,50,0.5,2000,75.77819095
DMEWMA,50,0.6,100,54.09342074
DMEWMA,50,0.6,200,59.39638808
DMEWMA,50,0.6,500,66.30298006
DMEWMA,50,0.6,1000,71.20601205
DMEWMA,50,0.6,2000,76.02039052
DMEWMA,50,0.7,100,54.15804848
DMEWMA,50,0.7,200,59.469022
DMEWMA,50,0.7,500,66.38219509
DMEWMA,50,0.7,1000,71.29108494
DMEWMA,50,0.7,2000,76.11121536
DMEWMA,50,0.8,100,54.22267622
DMEWMA,50,0.8,200,59.54165592
DMEWMA,50,0.8,500,66.46141012
DMEWMA,50,0.8,1000,71.37615783
DMEWMA,50,0.8,2000,76.2020402
DMEWMA,50,0.9,100,54.26576138
DMEWMA,50,0.9,200,59.61428984
DMEWMA,50,0.9,500,66.51422014
DMEWMA,50,0.9,1000,71.43287309
DMEWMA,50,0.9,2000,76.26259009
DMEWMA,50,0.95,100,54.28730396
DMEWMA,50,0.95,200,59.6506068
DMEWMA,50,0.95,500,66.54062515
DMEWMA,50,0.95,1000,71.46123073
DMEWMA,50,0.95,2000,76.29286504
ssMEWMA,2,0.05,100,6.242
ssMEWMA,2,0.05,200,7.35
ssMEWMA,2,0.05,500,9.729
ssMEWMA,2,0.05,1000,11.308
ssMEWMA,2,0.05,2000,12.878
ssMEWMA,2,0.1,100,7.262
ssMEWMA,2,0.1,200,8.64
ssMEWMA,2,0.1,500,10.827
ssMEWMA,2,0.1,1000,12.371
ssMEWMA,2,0.1,2000,13.882
ssMEWMA,2,0.2,100,8.211
ssMEWMA,2,0.2,200,9.65
ssMEWMA,2,0.2,500,11.688
ssMEWMA,2,0.2,1000,13.174
ssMEWMA,2,0.2,2000,14.644
ssMEWMA,2,0.3,100,8.576878756
ssMEWMA,2,0.3,200,10.08
ssMEWMA,2,0.3,500,12.20881244
ssMEWMA,2,0.3,1000,13.76102798
ssMEWMA,2,0.3,2000,15.29653057
ssMEWMA,2,0.4,100,8.772581347
ssMEWMA,2,0.4,200,10.31
ssMEWMA,2,0.4,500,12.48738653
ssMEWMA,2,0.4,1000,14.07501969
ssMEWMA,2,0.4,2000,15.64555855
ssMEWMA,2,0.5,100,8.883195855
ssMEWMA,2,0.5,200,10.44
ssMEWMA,2,0.5,500,12.64484145
ssMEWMA,2,0.5,1000,14.25249326
ssMEWMA,2,0.5,2000,15.84283523
ssMEWMA,2,0.6,100,8.951266321
ssMEWMA,2,0.6,200,10.52
ssMEWMA,2,0.6,500,12.74173679
ssMEWMA,2,0.6,1000,14.36170777
ssMEWMA,2,0.6,2000,15.96423627
ssMEWMA,2,0.7,100,8.976792746
ssMEWMA,2,0.7,200,10.55
ssMEWMA,2,0.7,500,12.77807254
ssMEWMA,2,0.7,1000,14.40266321
ssMEWMA,2,0.7,2000,16.00976166
ssMEWMA,2,0.8,100,9.002319171
ssMEWMA,2,0.8,200,10.58
ssMEWMA,2,0.8,500,12.81440829
ssMEWMA,2,0.8,1000,14.44361865
ssMEWMA,2,0.8,2000,16.05528705
ssMEWMA,2,0.9,100,9.019336788
ssMEWMA,2,0.9,200,10.6
ssMEWMA,2,0.9,500,12.83863212
ssMEWMA,2,0.9,1000,14.47092228
ssMEWMA,2,0.9,2000,16.08563731
ssMEWMA,2,0.95,100,9.027845596
ssMEWMA,2,0.95,200,10.61
ssMEWMA,2,0.95,500,12.85074404
ssMEWMA,2,0.95,1000,14.48457409
ssMEWMA,2,0.95,2000,16.10081244
ssMEWMA,3,0.05,100,8.152
ssMEWMA,3,0.05,200,9.773
ssMEWMA,3,0.05,500,11.997
ssMEWMA,3,0.05,1000,13.68
ssMEWMA,3,0.05,2000,15.353
ssMEWMA,3,0.1,100,9.275
ssMEWMA,3,0.1,200,10.956
ssMEWMA,3,0.1,500,13.165
ssMEWMA,3,0.1,1000,14.805
ssMEWMA,3,0.1,2000,16.41
ssMEWMA,3,0.2,100,10.924
ssMEWMA,3,0.2,200,11.93
ssMEWMA,3,0.2,500,14.055
ssMEWMA,3,0.2,1000,15.632
ssMEWMA,3,0.2,2000,17.184
ssMEWMA,3,0.3,100,10.72109845
ssMEWMA,3,0.3,200,12.6
ssMEWMA,3,0.3,500,15.26101554
ssMEWMA,3,0.3,1000,17.20128497
ssMEWMA,3,0.3,2000,19.12066321
ssMEWMA,3,0.4,100,10.96572668
ssMEWMA,3,0.4,200,12.8875
ssMEWMA,3,0.4,500,15.60923316
ssMEWMA,3,0.4,1000,17.59377461
ssMEWMA,3,0.4,2000,19.55694819
ssMEWMA,3,0.5,100,11.10399482
ssMEWMA,3,0.5,200,13.05
ssMEWMA,3,0.5,500,15.80605181
ssMEWMA,3,0.5,1000,17.81561658
ssMEWMA,3,0.5,2000,19.80354404
ssMEWMA,3,0.6,100,11.1890829
ssMEWMA,3,0.6,200,13.15
ssMEWMA,3,0.6,500,15.92717098
ssMEWMA,3,0.6,1000,17.95213472
ssMEWMA,3,0.6,2000,19.95529534
ssMEWMA,3,0.7,100,11.22099093
ssMEWMA,3,0.7,200,13.1875
ssMEWMA,3,0.7,500,15.97259067
ssMEWMA,3,0.7,1000,18.00332902
ssMEWMA,3,0.7,2000,20.01220207
ssMEWMA,3,0.8,100,11.25289896
ssMEWMA,3,0.8,200,13.225
ssMEWMA,3,0.8,500,16.01801036
ssMEWMA,3,0.8,1000,18.05452332
ssMEWMA,3,0.8,2000,20.06910881
ssMEWMA,3,0.9,100,11.27417098
ssMEWMA,3,0.9,200,13.25
ssMEWMA,3,0.9,500,16.04829016
ssMEWMA,3,0.9,1000,18.08865285
ssMEWMA,3,0.9,2000,20.10704663
ssMEWMA,3,0.95,100,11.28480699
ssMEWMA,3,0.95,200,13.2625
ssMEWMA,3,0.95,500,16.06343005
ssMEWMA,3,0.95,1000,18.10571762
ssMEWMA,3,0.95,2000,20.12601554
ssMEWMA,4,0.05,100,9.895
ssMEWMA,4,0.05,200,11.22
ssMEWMA,4,0.05,500,14.024
ssMEWMA,4,0.05,1000,15.81
ssMEWMA,4,0.05,2000,17.563
ssMEWMA,4,0.1,100,11.119
ssMEWMA,4,0.1,200,12.73
ssMEWMA,4,0.1,500,15.246
ssMEWMA,4,0.1,1000,16.975
ssMEWMA,4,0.1,2000,18.659
ssMEWMA,4,0.2,100,12.194
ssMEWMA,4,0.2,200,13.87
ssMEWMA,4,0.2,500,16.177
ssMEWMA,4,0.2,1000,17.829
ssMEWMA,4,0.2,2000,19.452
ssMEWMA,4,0.3,100,12.60720692
ssMEWMA,4,0.3,200,14.34
ssMEWMA,4,0.3,500,16.7251752
ssMEWMA,4,0.3,1000,18.43315501
ssMEWMA,4,0.3,2000,20.11115213
ssMEWMA,4,0.4,100,12.8182062
ssMEWMA,4,0.4,200,14.58
ssMEWMA,4,0.4,500,17.00509445
ssMEWMA,4,0.4,1000,18.7416597
ssMEWMA,4,0.4,2000,20.44774045
ssMEWMA,4,0.5,100,12.93249748
ssMEWMA,4,0.5,200,14.71
ssMEWMA,4,0.5,500,17.15671738
ssMEWMA,4,0.5,1000,18.9087664
ssMEWMA,4,0.5,2000,20.63005912
ssMEWMA,4,0.6,100,12.99403893
ssMEWMA,4,0.6,200,14.78
ssMEWMA,4,0.6,500,17.23836049
ssMEWMA,4,0.6,1000,18.99874694
ssMEWMA,4,0.6,2000,20.72823071
ssMEWMA,4,0.7,100,13.02920548
ssMEWMA,4,0.7,200,14.82
ssMEWMA,4,0.7,500,17.2850137
ssMEWMA,4,0.7,1000,19.05016438
ssMEWMA,4,0.7,2000,20.78432877
ssMEWMA,4,0.8,100,13.05558039
ssMEWMA,4,0.8,200,14.85
ssMEWMA,4,0.8,500,17.3200036
ssMEWMA,4,0.8,1000,19.08872747
ssMEWMA,4,0.8,2000,20.82640231
ssMEWMA,4,0.9,100,13.07316366
ssMEWMA,4,0.9,200,14.87
ssMEWMA,4,0.9,500,17.34333021
ssMEWMA,4,0.9,1000,19.11443619
ssMEWMA,4,0.9,2000,20.85445133
ssMEWMA,4,0.95,100,13.0819553
ssMEWMA,4,0.95,200,14.88
ssMEWMA,4,0.95,500,17.35499351
ssMEWMA,4,0.95,1000,19.12729056
ssMEWMA,4,0.95,2000,20.86847585
ssMEWMA,5,0.05,100,11.55
ssMEWMA,5,0.05,200,13.412
ssMEWMA,5,0.05,500,15.92
ssMEWMA,5,0.05,1000,17.792
ssMEWMA,5,0.05,2000,19.623
ssMEWMA,5,0.1,100,12.84
ssMEWMA,5,0.1,200,14.736
ssMEWMA,5,0.1,500,17.186
ssMEWMA,5,0.1,1000,18.996
ssMEWMA,5,0.1,2000,20.755
ssMEWMA,5,0.2,100,13.982
ssMEWMA,5,0.2,200,15.811
ssMEWMA,5,0.2,500,18.154
ssMEWMA,5,0.2,1000,19.878
ssMEWMA,5,0.2,2000,21.56
ssMEWMA,5,0.3,100,14.24614382
ssMEWMA,5,0.3,200,16.2042
ssMEWMA,5,0.3,500,18.89944797
ssMEWMA,5,0.3,1000,20.82946516
ssMEWMA,5,0.3,2000,22.7256019
ssMEWMA,5,0.4,100,14.48457301
ssMEWMA,5,0.4,200,16.4754
ssMEWMA,5,0.4,500,19.21575673
ssMEWMA,5,0.4,1000,21.17807546
ssMEWMA,5,0.4,2000,23.10594671
ssMEWMA,5,0.5,100,14.61372215
ssMEWMA,5,0.5,200,16.6223
ssMEWMA,5,0.5,500,19.38709063
ssMEWMA,5,0.5,1000,21.36690603
ssMEWMA,5,0.5,2000,23.31196681
ssMEWMA,5,0.6,100,14.68326399
ssMEWMA,5,0.6,200,16.7014
ssMEWMA,5,0.6,500,19.47934735
ssMEWMA,5,0.6,1000,21.46858404
ssMEWMA,5,0.6,2000,23.42290071
ssMEWMA,5,0.7,100,14.72300219
ssMEWMA,5,0.7,200,16.7466
ssMEWMA,5,0.7,500,19.53206548
ssMEWMA,5,0.7,1000,21.52668575
ssMEWMA,5,0.7,2000,23.48629151
ssMEWMA,5,0.8,100,14.75280584
ssMEWMA,5,0.8,200,16.7805
ssMEWMA,5,0.8,500,19.57160407
ssMEWMA,5,0.8,1000,21.57026204
ssMEWMA,5,0.8,2000,23.53383461
ssMEWMA,5,0.9,100,14.77267494
ssMEWMA,5,0.9,200,16.8031
ssMEWMA,5,0.9,500,19.59796314
ssMEWMA,5,0.9,1000,21.5993129
ssMEWMA,5,0.9,2000,23.56553001
ssMEWMA,5,0.95,100,14.78260949
ssMEWMA,5,0.95,200,16.8144
ssMEWMA,5,0.95,500,19.61114267
ssMEWMA,5,0.95,1000,21.61383833
ssMEWMA,5,0.95,2000,23.58137771
ssMEWMA,6,0.05,100,13.102
ssMEWMA,6,0.05,200,14.6
ssMEWMA,6,0.05,500,18.154
ssMEWMA,6,0.05,1000,19.878
ssMEWMA,6,0.05,2000,21.56
ssMEWMA,6,0.1,100,14.459
ssMEWMA,6,0.1,200,16.27
ssMEWMA,6,0.1,500,18.999
ssMEWMA,6,0.1,1000,20.867
ssMEWMA,6,0.1,2000,22.678
ssMEWMA,6,0.2,100,15.636
ssMEWMA,6,0.2,200,17.51
ssMEWMA,6,0.2,500,19.982
ssMEWMA,6,0.2,1000,21.769
ssMEWMA,6,0.2,2000,23.5
ssMEWMA,6,0.3,100,16.08248772
ssMEWMA,6,0.3,200,18.01
ssMEWMA,6,0.3,500,20.55258824
ssMEWMA,6,0.3,1000,22.39061622
ssMEWMA,6,0.3,2000,24.17104512
ssMEWMA,6,0.4,100,16.30573158
ssMEWMA,6,0.4,200,18.26
ssMEWMA,6,0.4,500,20.83788235
ssMEWMA,6,0.4,1000,22.70142433
ssMEWMA,6,0.4,2000,24.50656768
ssMEWMA,6,0.5,100,16.42181839
ssMEWMA,6,0.5,200,18.39
ssMEWMA,6,0.5,500,20.98623529
ssMEWMA,6,0.5,1000,22.86304455
ssMEWMA,6,0.5,2000,24.68103941
ssMEWMA,6,0.6,100,16.49325642
ssMEWMA,6,0.6,200,18.47
ssMEWMA,6,0.6,500,21.07752941
ssMEWMA,6,0.6,1000,22.96250314
ssMEWMA,6,0.6,2000,24.78840662
ssMEWMA,6,0.7,100,16.52004569
ssMEWMA,6,0.7,200,18.5
ssMEWMA,6,0.7,500,21.11176471
ssMEWMA,6,0.7,1000,22.99980011
ssMEWMA,6,0.7,2000,24.82866933
ssMEWMA,6,0.8,100,16.55576471
ssMEWMA,6,0.8,200,18.54
ssMEWMA,6,0.8,500,21.15741176
ssMEWMA,6,0.8,1000,23.04952941
ssMEWMA,6,0.8,2000,24.88235294
ssMEWMA,6,0.9,100,16.57362421
ssMEWMA,6,0.9,200,18.56
ssMEWMA,6,0.9,500,21.18023529
ssMEWMA,6,0.9,1000,23.07439406
ssMEWMA,6,0.9,2000,24.90919475
ssMEWMA,6,0.95,100,16.59148372
ssMEWMA,6,0.95,200,18.58
ssMEWMA,6,0.95,500,21.20305882
ssMEWMA,6,0.95,1000,23.09925871
ssMEWMA,6,0.95,2000,24.93603655
ssMEWMA,7,0.05,100,14.628
ssMEWMA,7,0.05,200,16.68
ssMEWMA,7,0.05,500,19.409
ssMEWMA,7,0.05,1000,21.425
ssMEWMA,7,0.05,2000,23.378
ssMEWMA,7,0.1,100,16.044
ssMEWMA,7,0.1,200,18.114
ssMEWMA,7,0.1,500,20.762
ssMEWMA,7,0.1,1000,22.699
ssMEWMA,7,0.1,2000,24.574
ssMEWMA,7,0.2,100,17.26
ssMEWMA,7,0.2,200,19.254
ssMEWMA,7,0.2,500,21.776
ssMEWMA,7,0.2,1000,23.613
ssMEWMA,7,0.2,2000,25.412
ssMEWMA,7,0.3,100,17.52991162
ssMEWMA,7,0.3,200,19.6309
ssMEWMA,7,0.3,500,22.40232118
ssMEWMA,7,0.3,1000,24.40577168
ssMEWMA,7,0.3,2000,26.34643918
ssMEWMA,7,0.4,100,17.77324742
ssMEWMA,7,0.4,200,19.9034
ssMEWMA,7,0.4,500,22.71329176
ssMEWMA,7,0.4,1000,24.74455252
ssMEWMA,7,0.4,2000,26.71215877
ssMEWMA,7,0.5,100,17.89978204
ssMEWMA,7,0.5,200,20.0451
ssMEWMA,7,0.5,500,22.87499647
ssMEWMA,7,0.5,1000,24.92071856
ssMEWMA,7,0.5,2000,26.90233295
ssMEWMA,7,0.6,100,17.9776495
ssMEWMA,7,0.6,200,20.1323
ssMEWMA,7,0.6,500,22.97450706
ssMEWMA,7,0.6,1000,25.02912842
ssMEWMA,7,0.6,2000,27.01936322
ssMEWMA,7,0.7,100,18.0068498
ssMEWMA,7,0.7,200,20.165
ssMEWMA,7,0.7,500,23.01182353
ssMEWMA,7,0.7,1000,25.06978212
ssMEWMA,7,0.7,2000,27.06324957
ssMEWMA,7,0.8,100,18.04578353
ssMEWMA,7,0.8,200,20.2086
ssMEWMA,7,0.8,500,23.06157882
ssMEWMA,7,0.8,1000,25.12398706
ssMEWMA,7,0.8,2000,27.12176471
ssMEWMA,7,0.9,100,18.06525039
ssMEWMA,7,0.9,200,20.2304
ssMEWMA,7,0.9,500,23.08645647
ssMEWMA,7,0.9,1000,25.15108953
ssMEWMA,7,0.9,2000,27.15102227
ssMEWMA,7,0.95,100,18.08471726
ssMEWMA,7,0.95,200,20.2522
ssMEWMA,7,0.95,500,23.11133412
ssMEWMA,7,0.95,1000,25.17819199
ssMEWMA,7,0.95,2000,27.18027984
ssMEWMA,8,0.05,100,16.103
ssMEWMA,8,0.05,200,18.257
ssMEWMA,8,0.05,500,21.075
ssMEWMA,8,0.05,1000,23.163
ssMEWMA,8,0.05,2000,25.186
ssMEWMA,8,0.1,100,17.581
ssMEWMA,8,0.1,200,19.74
ssMEWMA,8,0.1,500,21.075
ssMEWMA,8,0.1,1000,23.163
ssMEWMA,8,0.1,2000,25.186
ssMEWMA,8,0.2,100,18.852
ssMEWMA,8,0.2,200,20.905
ssMEWMA,8,0.2,500,23.515
ssMEWMA,8,0.2,1000,25.416
ssMEWMA,8,0.2,2000,27.252
ssMEWMA,8,0.3,100,18.75700543
ssMEWMA,8,0.3,200,21.005063
ssMEWMA,8,0.3,500,23.97048366
ssMEWMA,8,0.3,1000,26.1141757
ssMEWMA,8,0.3,2000,28.19068992
ssMEWMA,8,0.4,100,19.01737474
ssMEWMA,8,0.4,200,21.296638
ssMEWMA,8,0.4,500,24.30322219
ssMEWMA,8,0.4,1000,26.47667119
ssMEWMA,8,0.4,2000,28.58200988
ssMEWMA,8,0.5,100,19.15276679
ssMEWMA,8,0.5,200,21.448257
ssMEWMA,8,0.5,500,24.47624622
ssMEWMA,8,0.5,1000,26.66516885
ssMEWMA,8,0.5,2000,28.78549626
ssMEWMA,8,0.6,100,19.23608497
ssMEWMA,8,0.6,200,21.541561
ssMEWMA,8,0.6,500,24.58272255
ssMEWMA,8,0.6,1000,26.78116741
ssMEWMA,8,0.6,2000,28.91071865
ssMEWMA,8,0.7,100,19.26732929
ssMEWMA,8,0.7,200,21.57655
ssMEWMA,8,0.7,500,24.62265118
ssMEWMA,8,0.7,1000,26.82466687
ssMEWMA,8,0.7,2000,28.95767704
ssMEWMA,8,0.8,100,19.30898838
ssMEWMA,8,0.8,200,21.623202
ssMEWMA,8,0.8,500,24.67588934
ssMEWMA,8,0.8,1000,26.88266615
ssMEWMA,8,0.8,2000,29.02028824
ssMEWMA,8,0.9,100,19.32981792
ssMEWMA,8,0.9,200,21.646528
ssMEWMA,8,0.9,500,24.70250842
ssMEWMA,8,0.9,1000,26.91166579
ssMEWMA,8,0.9,2000,29.05159383
ssMEWMA,8,0.95,100,19.35064747
ssMEWMA,8,0.95,200,21.669854
ssMEWMA,8,0.95,500,24.72912751
ssMEWMA,8,0.95,1000,26.94066543
ssMEWMA,8,0.95,2000,29.08289943
ssMEWMA,9,0.05,100,17.573
ssMEWMA,9,0.05,200,19.792
ssMEWMA,9,0.05,500,22.712
ssMEWMA,9,0.05,1000,24.849
ssMEWMA,9,0.05,2000,26.927
ssMEWMA,9,0.1,100,19.095
ssMEWMA,9,0.1,200,21.317
ssMEWMA,9,0.1,500,24.142
ssMEWMA,9,0.1,1000,26.196
ssMEWMA,9,0.1,2000,28.172
ssMEWMA,9,0.2,100,20.394
ssMEWMA,9,0.2,200,22.518
ssMEWMA,9,0.2,500,25.208
ssMEWMA,9,0.2,1000,27.154
ssMEWMA,9,0.2,2000,29.04
ssMEWMA,9,0.3,100,20.25756586
ssMEWMA,9,0.3,200,22.68546804
ssMEWMA,9,0.3,500,25.88812235
ssMEWMA,9,0.3,1000,28.20330975
ssMEWMA,9,0.3,2000,30.44594511
ssMEWMA,9,0.4,100,20.53876472
ssMEWMA,9,0.4,200,23.00036904
ssMEWMA,9,0.4,500,26.24747996
ssMEWMA,9,0.4,1000,28.59480489
ssMEWMA,9,0.4,2000,30.86857067
ssMEWMA,9,0.5,100,20.68498813
ssMEWMA,9,0.5,200,23.16411756
ssMEWMA,9,0.5,500,26.43434592
ssMEWMA,9,0.5,1000,28.79838236
ssMEWMA,9,0.5,2000,31.08833596
ssMEWMA,9,0.6,100,20.77497177
ssMEWMA,9,0.6,200,23.26488588
ssMEWMA,9,0.6,500,26.54934036
ssMEWMA,9,0.6,1000,28.92366081
ssMEWMA,9,0.6,2000,31.22357614
ssMEWMA,9,0.7,100,20.80871563
ssMEWMA,9,0.7,200,23.302674
ssMEWMA,9,0.7,500,26.59246327
ssMEWMA,9,0.7,1000,28.97064022
ssMEWMA,9,0.7,2000,31.27429121
ssMEWMA,9,0.8,100,20.85370745
ssMEWMA,9,0.8,200,23.35305816
ssMEWMA,9,0.8,500,26.64996049
ssMEWMA,9,0.8,1000,29.03327945
ssMEWMA,9,0.8,2000,31.34191129
ssMEWMA,9,0.9,100,20.87620336
ssMEWMA,9,0.9,200,23.37825024
ssMEWMA,9,0.9,500,26.6787091
ssMEWMA,9,0.9,1000,29.06459906
ssMEWMA,9,0.9,2000,31.37572134
ssMEWMA,9,0.95,100,20.89869926
ssMEWMA,9,0.95,200,23.40344232
ssMEWMA,9,0.95,500,26.70745771
ssMEWMA,9,0.95,1000,29.09591867
ssMEWMA,9,0.95,2000,31.40953138
ssMEWMA,10,0.05,100,19.032
ssMEWMA,10,0.05,200,20.72
ssMEWMA,10,0.05,500,24.363
ssMEWMA,10,0.05,1000,26.565
ssMEWMA,10,0.05,2000,28.696
ssMEWMA,10,0.1,100,20.621
ssMEWMA,10,0.1,200,22.67
ssMEWMA,10,0.1,500,25.831
ssMEWMA,10,0.1,1000,27.945
ssMEWMA,10,0.1,2000,29.973
ssMEWMA,10,0.2,100,21.966
ssMEWMA,10,0.2,200,24.07
ssMEWMA,10,0.2,500,26.924
ssMEWMA,10,0.2,1000,28.915
ssMEWMA,10,0.2,2000,30.87
ssMEWMA,10,0.3,100,22.46792356
ssMEWMA,10,0.3,200,24.62
ssMEWMA,10,0.3,500,27.53921396
ssMEWMA,10,0.3,1000,29.57570835
ssMEWMA,10,0.3,2000,31.57538014
ssMEWMA,10,0.4,100,22.71432239
ssMEWMA,10,0.4,200,24.89
ssMEWMA,10,0.4,500,27.84122808
ssMEWMA,10,0.4,1000,29.90005609
ssMEWMA,10,0.4,2000,31.92165767
ssMEWMA,10,0.5,100,22.84208475
ssMEWMA,10,0.5,200,25.03
ssMEWMA,10,0.5,500,27.997828
ssMEWMA,10,0.5,1000,30.06823639
ssMEWMA,10,0.5,2000,32.10120897
ssMEWMA,10,0.6,100,22.91509182
ssMEWMA,10,0.6,200,25.11
ssMEWMA,10,0.6,500,28.08731367
ssMEWMA,10,0.6,1000,30.16433943
ssMEWMA,10,0.6,2000,32.20380972
ssMEWMA,10,0.7,100,22.94246946
ssMEWMA,10,0.7,200,25.14
ssMEWMA,10,0.7,500,28.12087079
ssMEWMA,10,0.7,1000,30.20037806
ssMEWMA,10,0.7,2000,32.242285
ssMEWMA,10,0.8,100,22.96984711
ssMEWMA,10,0.8,200,25.17
ssMEWMA,10,0.8,500,28.15442792
ssMEWMA,10,0.8,1000,30.2364167
ssMEWMA,10,0.8,2000,32.28076028
ssMEWMA,10,0.9,100,22.98809888
ssMEWMA,10,0.9,200,25.19
ssMEWMA,10,0.9,500,28.17679934
ssMEWMA,10,0.9,1000,30.26044246
ssMEWMA,10,0.9,2000,32.30641047
ssMEWMA,10,0.95,100,22.99722476
ssMEWMA,10,0.95,200,25.2
ssMEWMA,10,0.95,500,28.18798504
ssMEWMA,10,0.95,1000,30.27245534
ssMEWMA,10,0.95,2000,32.31923556
ssMEWMA,15,0.05,100,25.844
ssMEWMA,15,0.05,200,27.82
ssMEWMA,15,0.05,500,31.887
ssMEWMA,15,0.05,1000,34.351
ssMEWMA,15,0.05,2000,36.72
ssMEWMA,15,0.1,100,27.653
ssMEWMA,15,0.1,200,30.03
ssMEWMA,15,0.1,500,33.518
ssMEWMA,15,0.1,1000,35.86
ssMEWMA,15,0.1,2000,38.109
ssMEWMA,15,0.2,100,29.161
ssMEWMA,15,0.2,200,31.59
ssMEWMA,15,0.2,500,34.693
ssMEWMA,15,0.2,1000,36.911
ssMEWMA,15,0.2,2000,39.047
ssMEWMA,15,0.3,100,29.20830062
ssMEWMA,15,0.3,200,32.19
ssMEWMA,15,0.3,500,35.80097815
ssMEWMA,15,0.3,1000,38.44842086
ssMEWMA,15,0.3,2000,41.04799418
ssMEWMA,15,0.4,100,29.52861911
ssMEWMA,15,0.4,200,32.48
ssMEWMA,15,0.4,500,36.19359651
ssMEWMA,15,0.4,1000,38.87007291
ssMEWMA,15,0.4,2000,41.49815496
ssMEWMA,15,0.5,100,29.69471018
ssMEWMA,15,0.5,200,32.63
ssMEWMA,15,0.5,500,36.3971764
ssMEWMA,15,0.5,1000,39.08870731
ssMEWMA,15,0.5,2000,41.73157167
ssMEWMA,15,0.6,100,29.78961936
ssMEWMA,15,0.6,200,32.71
ssMEWMA,15,0.6,500,36.51350777
ssMEWMA,15,0.6,1000,39.21364125
ssMEWMA,15,0.6,2000,41.86495264
ssMEWMA,15,0.7,100,29.8252103
ssMEWMA,15,0.7,200,32.75
ssMEWMA,15,0.7,500,36.55713203
ssMEWMA,15,0.7,1000,39.26049148
ssMEWMA,15,0.7,2000,41.9149705
ssMEWMA,15,0.8,100,29.86080125
ssMEWMA,15,0.8,200,32.79
ssMEWMA,15,0.8,500,36.60075629
ssMEWMA,15,0.8,1000,39.30734171
ssMEWMA,15,0.8,2000,41.96498837
ssMEWMA,15,0.9,100,29.88452854
ssMEWMA,15,0.9,200,32.83
ssMEWMA,15,0.9,500,36.62983914
ssMEWMA,15,0.9,1000,39.3385752
ssMEWMA,15,0.9,2000,41.99833361
ssMEWMA,15,0.95,100,29.89639219
ssMEWMA,15,0.95,200,32.85
ssMEWMA,15,0.95,500,36.64438056
ssMEWMA,15,0.95,1000,39.35419194
ssMEWMA,15,0.95,2000,42.01500623
ssMEWMA,20,0.05,100,32.39
ssMEWMA,20,0.05,200,35.293
ssMEWMA,20,0.05,500,39.031
ssMEWMA,20,0.05,1000,41.724
ssMEWMA,20,0.05,2000,44.297
ssMEWMA,20,0.1,100,34.378
ssMEWMA,20,0.1,200,37.235
ssMEWMA,20,0.1,500,40.806
ssMEWMA,20,0.1,1000,43.36
ssMEWMA,20,0.1,2000,45.778
ssMEWMA,20,0.2,100,36.017
ssMEWMA,20,0.2,200,38.727
ssMEWMA,20,0.2,500,42.086
ssMEWMA,20,0.2,1000,44.483
ssMEWMA,20,0.2,2000,46.785
ssMEWMA,20,0.3,100,35.63412676
ssMEWMA,20,0.3,200,39.2718
ssMEWMA,20,0.3,500,43.67719334
ssMEWMA,20,0.3,1000,46.90707344
ssMEWMA,20,0.3,2000,50.0785529
ssMEWMA,20,0.4,100,36.02491532
ssMEWMA,20,0.4,200,39.6256
ssMEWMA,20,0.4,500,44.15618774
ssMEWMA,20,0.4,1000,47.42148895
ssMEWMA,20,0.4,2000,50.62774906
ssMEWMA,20,0.5,100,36.22754642
ssMEWMA,20,0.5,200,39.8086
ssMEWMA,20,0.5,500,44.40455521
ssMEWMA,20,0.5,1000,47.68822292
ssMEWMA,20,0.5,2000,50.91251743
ssMEWMA,20,0.6,100,36.34333562
ssMEWMA,20,0.6,200,39.9062
ssMEWMA,20,0.6,500,44.54647948
ssMEWMA,20,0.6,1000,47.84064233
ssMEWMA,20,0.6,2000,51.07524222
